pump
id,AUC,pAUC
00,0.6634265734265734,0.5528156054471844
02,0.5927027027027026,0.5922238027501185
04,0.8825999999999999,0.6878947368421052
06,0.7452941176470588,0.5686274509803921
Average,0.7210058484440837,0.6003903990049502

