pump
id,AUC,pAUC
00,0.7563636363636363,0.6573426573426574
02,0.6052252252252251,0.6220957799905168
04,0.8277000000000001,0.6310526315789474
06,0.7314705882352941,0.6021671826625387
Average,0.7301898624560389,0.6281645628936651

